,acousticness,danceability,energy,instrumentalness,popularity,speechiness
177,0.994,0.392,0.128,0.153,0,0.0378
178,0.0968,0.481,0.7340000000000001,0.0,0,0.187
179,0.00115,0.662,0.936,0.857,13,0.0715
180,0.00282,0.32,0.69,0.0021,0,0.0345
181,0.375,0.652,0.5760000000000001,0.444,0,0.0615
182,0.951,0.361,0.408,0.00954,0,0.0432
183,0.992,0.344,0.196,0.00441,0,0.0365
184,0.903,0.611,0.377,6.98e-06,0,0.0291
185,0.8909999999999999,0.41,0.296,5.01e-06,0,0.0386
186,0.981,0.474,0.815,0.4629999999999999,0,0.0577
187,0.996,0.485,0.1639999999999999,0.563,0,0.0486
188,0.994,0.402,0.161,1.21e-06,0,0.0521
189,0.3939999999999999,0.3670000000000001,0.555,0.134,0,0.168
190,0.995,0.41,0.214,1.38e-06,0,0.0626
191,0.0496,0.743,0.271,0.000104,0,0.0537
192,0.988,0.534,0.282,0.00223,0,0.0394
193,0.529,0.8640000000000001,0.4379999999999999,0.0,0,0.452
194,0.996,0.616,0.3339999999999999,0.946,0,0.0473
195,0.024,0.524,0.537,0.0,0,0.467
196,0.934,0.608,0.4370000000000001,0.0194,0,0.0359
197,0.996,0.563,0.176,0.917,0,0.0834
198,0.996,0.499,0.201,0.964,0,0.0553
199,0.993,0.259,0.341,0.00727,0,0.0535
200,0.732,0.8190000000000001,0.341,0.0,6,0.415
201,0.982,0.2789999999999999,0.211,0.878,4,0.0366
202,0.957,0.418,0.193,1.68e-06,3,0.038
203,0.134,0.825,0.4379999999999999,0.846,5,0.0509
204,0.993,0.389,0.088,0.527,2,0.0456
205,0.996,0.485,0.13,0.151,0,0.0483
206,0.982,0.684,0.257,0.0,0,0.3989999999999999
207,0.995,0.4629999999999999,0.26,0.0,0,0.0557
208,0.994,0.3779999999999999,0.115,0.906,0,0.0414
209,0.99,0.315,0.363,0.0,0,0.0546
210,0.912,0.415,0.42,0.89,0,0.114
211,0.0175,0.527,0.691,0.384,0,0.0326
212,0.989,0.384,0.171,0.82,4,0.0319
213,0.957,0.259,0.212,0.000222,1,0.0358
214,0.996,0.541,0.283,0.898,0,0.0477
215,0.148,0.604,0.418,0.0382,0,0.0417
216,0.971,0.54,0.0848,0.00196,0,0.075
217,0.994,0.67,0.113,0.0,0,0.196
218,0.994,0.4,0.155,4.33e-05,0,0.0873
219,0.995,0.648,0.0995,0.846,0,0.105
220,0.995,0.223,0.245,0.8759999999999999,0,0.0387
221,0.97,0.2689999999999999,0.143,0.469,0,0.0413
222,0.993,0.389,0.088,0.527,0,0.0456
223,0.996,0.5,0.2739999999999999,0.0,0,0.0409999999999999
224,0.3879999999999999,0.685,0.698,1.97e-06,0,0.0421
225,0.99,0.665,0.231,0.0,0,0.155
226,0.992,0.286,0.177,0.932,0,0.0431
227,0.992,0.332,0.179,4.41e-06,0,0.0443
228,0.991,0.484,0.215,0.000546,0,0.106
229,0.505,0.233,0.00817,0.0002029999999999,3,0.0305
230,0.7659999999999999,0.4529999999999999,0.5589999999999999,0.0104,1,0.0329
231,0.384,0.65,0.4429999999999999,0.0,0,0.0334
232,0.991,0.465,0.284,0.0225,0,0.0591
233,0.975,0.37,0.196,0.945,0,0.0449
234,0.994,0.248,0.0876,0.907,1,0.0566
235,0.992,0.522,0.29,0.0,0,0.0522
236,0.982,0.2789999999999999,0.211,0.878,1,0.0366
237,0.185,0.5770000000000001,0.422,0.0349,0,0.0575
238,0.969,0.344,0.131,0.0,0,0.0616
239,0.258,0.6890000000000001,0.537,4.4e-06,0,0.0282
240,0.765,0.474,0.3979999999999999,0.0036799999999999,0,0.0309
241,0.965,0.278,0.251,2.32e-06,0,0.0371
242,0.961,0.3279999999999999,0.166,0.913,1,0.0339
243,0.991,0.371,0.0742,0.0167,0,0.0362
244,0.7090000000000001,0.516,0.5760000000000001,0.226,0,0.0303
245,0.993,0.396,0.158,0.738,0,0.0734
246,0.8490000000000001,0.0663,0.0257,0.956,1,0.0472
247,0.597,0.508,0.5,4.49e-06,0,0.0345
248,0.976,0.301,0.233,0.205,0,0.0449
249,0.996,0.655,0.119,0.474,0,0.127
250,0.983,0.213,0.185,2.64e-05,0,0.0372
251,0.992,0.241,0.109,0.853,4,0.0377
252,0.982,0.363,0.12,1.75e-05,0,0.0452
253,0.951,0.823,0.3289999999999999,0.0,0,0.143
254,0.956,0.293,0.2319999999999999,0.7120000000000001,0,0.0679
255,0.995,0.3339999999999999,0.147,0.258,0,0.0486
256,0.757,0.55,0.515,0.0126,0,0.0336
257,0.866,0.312,0.175,0.0,0,0.0347
258,0.923,0.396,0.3,0.61,0,0.0353
259,0.992,0.251,0.275,0.785,0,0.0371
260,0.653,0.727,0.0116,3.78e-05,1,0.22
261,0.995,0.514,0.256,0.0,0,0.0871
262,0.994,0.263,0.0536,0.927,1,0.0386
263,0.935,0.36,0.145,0.384,0,0.0383
264,0.994,0.426,0.226,0.0,0,0.0693
265,0.988,0.341,0.139,0.114,0,0.0643
266,0.7929999999999999,0.1989999999999999,0.377,1.96e-06,0,0.0421
267,0.975,0.418,0.0904,2.64e-06,0,0.0408
268,0.994,0.611,0.297,0.0,1,0.0661
269,0.987,0.423,0.0926,2.7399999999999995e-05,0,0.0437
270,0.99,0.38,0.525,0.94,0,0.0432
271,0.922,0.27,0.266,0.802,0,0.0323
272,0.943,0.212,0.215,0.442,0,0.0392
273,0.8959999999999999,0.476,0.677,0.644,1,0.108
274,0.478,0.28,0.0294,0.00569,2,0.0324
275,0.0451,0.693,0.588,0.0186,0,0.0933
276,0.465,0.758,0.0148,1.94e-05,1,0.133
277,0.995,0.264,0.287,0.935,0,0.0356
278,0.995,0.517,0.271,0.0,0,0.0551
279,0.982,0.316,0.15,0.909,0,0.0333
280,0.973,0.2,0.0916,0.875,0,0.0376
281,0.994,0.382,0.105,0.48,0,0.0408
